,Accident_Severity,Number_of_Casualties,Day_of_Week,Speed_limit
327,3,1,5,30
328,3,1,5,30
329,3,1,5,30
330,3,1,6,20
331,3,2,5,30
332,2,1,6,30
333,3,1,7,30
334,3,1,2,30
335,3,1,7,30
336,2,1,1,30
337,3,1,4,30
338,3,1,3,30
339,3,1,7,30
340,3,1,7,30
341,3,1,5,30
342,3,1,5,30
343,2,1,6,30
344,3,1,7,30
345,3,1,5,30
346,3,1,3,30
347,3,2,7,30
348,2,1,6,30
349,3,2,5,30
350,3,1,6,30
351,3,1,4,30
352,3,1,6,30
353,3,1,5,30
354,3,1,6,30
355,3,1,4,30
356,2,1,5,30
357,3,1,2,50
358,3,1,5,30
359,3,1,4,30
360,3,1,4,30
361,3,1,7,30
362,2,1,5,30
363,3,1,3,30
364,3,1,5,30
365,3,1,3,30
366,2,1,5,30
367,3,1,3,30
368,3,1,3,30
369,2,1,4,30
370,2,1,4,30
371,3,1,6,30
372,3,1,7,30
373,3,1,2,30
374,3,1,1,30
375,3,4,1,30
376,3,1,2,30
377,3,1,1,30
378,2,1,5,30
379,2,1,6,30
380,2,1,2,30
381,3,1,4,30
382,3,1,3,30
383,3,1,4,30
384,3,1,4,30
385,3,1,5,30
386,3,1,5,30
387,2,1,7,30
388,3,1,4,30
389,3,1,7,30
390,3,1,4,30
391,3,1,4,30
392,3,1,3,30
393,3,1,4,30
394,3,1,5,30
395,3,1,3,30
396,3,1,4,30
397,3,1,5,30
398,3,1,6,30
399,2,1,5,30
400,3,1,4,30
401,3,1,7,30
402,3,1,3,30
403,3,1,5,30
404,3,1,7,30
405,3,1,3,30
406,3,1,4,30
407,3,1,7,30
408,2,2,4,30
409,3,1,6,30
410,3,2,1,30
411,3,1,2,30
412,3,1,6,30
413,3,1,4,30
414,3,1,5,30
415,3,1,4,30
416,3,1,5,30
417,3,1,4,30
418,3,1,6,30
419,2,1,6,30
420,3,1,3,30
421,3,1,5,30
422,3,1,1,30
423,3,1,3,30
424,2,1,2,30
425,3,1,4,30
426,2,1,7,30
427,3,8,4,30
428,3,1,1,30
429,3,2,1,30
430,3,1,2,30
431,3,1,3,30
432,2,1,2,30
433,3,1,4,30
434,3,1,4,30
435,2,1,3,30
436,3,1,2,30
437,3,1,2,30
438,3,2,6,30
439,3,2,4,30
440,3,1,6,30
441,3,1,2,30
442,3,1,5,30
443,2,1,5,30
444,3,1,6,30
445,3,1,5,30
446,3,3,7,30
447,3,1,3,30
448,2,1,1,30
449,3,1,2,30
450,3,1,3,30
451,3,1,4,30
452,3,1,2,30
453,3,1,6,30
454,3,2,5,30
455,3,1,7,30
456,2,1,7,50
457,3,1,2,30
458,3,1,5,30
459,3,1,7,30
460,3,1,6,30
461,3,1,3,30
462,3,2,4,30
463,3,1,7,30
464,3,1,5,30
465,3,1,4,30
466,3,1,2,30
467,3,1,3,30
468,3,1,4,30
469,3,1,6,30
470,3,1,2,30
471,2,1,3,30
472,3,1,1,30
473,3,1,7,30
474,3,1,6,30
475,3,1,3,30
476,3,1,3,30
477,3,1,2,30
478,3,1,4,30
479,3,1,5,30
480,3,1,3,30
481,2,1,2,30
482,3,1,6,30
483,3,1,4,30
484,3,1,5,30
485,3,1,6,30
486,3,1,6,30
487,3,1,3,30
488,3,1,7,30
489,3,1,3,30
490,3,1,5,30
491,3,1,5,30
492,3,1,7,30
493,3,1,7,30
494,2,1,1,30
495,3,1,5,30
496,3,1,3,30
497,3,1,3,30
498,2,1,5,30
499,2,1,4,30
500,3,1,5,30
501,3,1,5,30
502,3,1,3,30
503,3,1,2,30
504,2,1,6,30
505,3,1,3,30
506,3,1,4,30
507,3,1,6,30
508,3,1,6,30
509,3,1,2,30
510,3,2,7,40
511,3,1,7,30
512,3,1,5,30
513,3,1,2,30
514,3,1,6,30
515,2,2,3,30
516,3,2,6,30
517,3,1,1,30
518,3,1,2,30
519,3,1,3,30
520,2,1,7,30
521,3,1,6,30
522,3,1,1,30
523,3,1,3,30
524,3,1,7,30
525,3,1,6,30
526,3,1,1,30
527,3,1,4,30
528,3,1,7,30
529,3,1,2,30
530,2,1,5,20
531,3,1,5,30
532,3,1,6,30
533,3,1,5,30
534,2,1,4,30
535,3,1,5,30
536,3,1,7,30
537,3,1,3,30
538,3,1,2,30
539,3,1,2,30
540,2,1,4,30
541,2,1,3,30
542,2,1,4,30
543,3,1,4,30
544,3,1,7,30
545,3,2,7,30
546,3,1,6,30
547,3,1,2,30
548,3,1,7,30
549,3,1,2,30
550,3,1,3,30
551,3,1,2,30
552,3,2,2,30
553,3,1,4,30
554,3,1,1,30
555,3,1,2,30
556,3,1,5,30
557,3,1,4,30
558,3,1,5,30
559,3,1,2,30
560,3,1,4,30
561,3,1,1,30
562,3,1,2,30
563,3,1,4,30
564,3,4,6,30
565,3,1,7,30
566,2,1,4,30
567,2,1,5,30
568,3,1,1,30
569,3,1,7,30
570,3,1,6,30
571,3,1,5,30
572,3,1,6,30
573,2,1,3,30
574,3,2,5,30
575,3,2,5,30
576,3,1,4,30
577,3,1,4,30
578,2,3,1,30
579,3,1,7,30
580,3,1,6,30
581,3,1,5,30
582,3,1,6,30
583,2,1,6,30
584,3,1,3,30
585,3,4,2,30
586,3,2,1,30
587,3,2,4,30
588,3,1,2,30
589,3,1,5,30
590,3,1,7,30
591,3,1,7,30
592,3,1,3,30
593,3,1,6,30
594,3,1,5,30
595,3,1,4,30
596,2,1,4,30
597,2,2,6,30
598,3,1,5,30
599,2,1,6,30
600,3,1,1,30
601,3,1,6,30
602,3,1,4,30
603,3,1,4,30
604,2,1,4,30
605,2,1,1,30
606,3,1,2,30
607,3,1,2,30
608,3,1,4,30
609,3,1,7,30
610,3,1,4,30
611,3,1,4,30
612,2,1,6,30
613,2,1,4,30
614,3,1,4,30
615,3,1,2,30
616,3,1,2,30
617,3,1,5,30
618,3,2,6,30
619,3,1,7,30
620,3,1,4,30
621,3,1,3,30
622,3,1,4,30
623,3,1,2,30
624,3,1,5,30
625,3,1,6,30
626,2,2,2,30
627,3,1,3,30
628,3,1,3,30
629,3,1,5,30
630,3,1,5,30
631,3,1,3,30
632,3,2,7,30
633,3,1,3,30
634,3,1,6,30
635,3,2,1,30
636,3,1,2,50
637,2,1,4,30
638,3,1,6,30
639,3,1,4,30
640,3,1,6,30
641,2,1,6,30
642,3,1,6,30
643,3,2,1,30
644,3,1,5,30
645,3,1,1,30
646,3,1,5,30
647,3,2,6,30
648,3,1,5,30
649,3,1,4,30
650,3,1,3,30
651,3,1,5,30
652,3,1,5,30
653,2,1,1,30
654,3,1,6,30
655,3,1,6,30
656,3,1,6,30
657,3,1,6,30
658,3,1,4,30
659,3,1,6,30
660,3,1,4,30
661,3,1,7,30
662,3,1,1,30
663,3,1,3,30
664,3,1,4,30
665,3,2,6,30
666,3,1,6,30
667,3,1,2,30
668,3,1,7,30
669,3,1,3,30
670,2,1,2,30
671,3,1,2,30
672,3,1,6,30
673,3,1,6,30
674,3,1,5,30
675,3,1,4,30
676,3,1,5,30
677,3,1,3,30
678,3,1,7,30
679,3,1,4,30
680,3,1,7,30
681,3,1,3,30
682,3,1,5,30
683,2,1,2,30
684,3,1,7,30
685,3,1,4,30
686,2,1,7,40
687,3,1,3,30
688,3,1,2,30
689,3,1,7,30
690,3,3,6,30
691,3,1,3,30
692,3,1,3,30
693,3,1,6,30
694,3,1,7,40
695,3,3,4,30
696,3,1,1,30
697,3,1,6,30
698,3,1,5,30
699,3,1,1,30
700,3,1,6,30
701,2,1,7,20
702,3,2,7,30
703,2,1,5,30
704,3,1,6,30
705,2,1,7,30
706,2,1,6,30
707,3,1,6,30
708,3,1,4,30
709,3,1,2,30
710,3,1,4,30
711,3,1,4,30
712,2,1,6,30
713,3,1,4,30
714,2,1,4,30
715,3,1,2,30
716,3,1,2,30
717,3,1,7,30
718,3,1,2,30
719,3,1,7,30
720,3,2,5,30
721,3,2,5,30
722,3,1,6,30
723,3,1,6,30
724,3,1,2,30
725,3,1,3,30
726,3,1,5,30
727,3,1,2,30
728,2,1,4,30
729,3,1,3,30
730,3,3,4,50
731,3,1,5,30
732,3,1,2,30
733,2,1,6,30
734,3,1,5,30
735,3,1,7,30
736,3,1,3,30
737,3,1,3,30
738,3,1,2,30
739,2,1,2,30
740,3,1,5,30
741,2,1,3,30
742,3,1,7,30
743,3,1,1,30
744,3,1,1,30
745,3,3,7,30
746,3,1,3,30
747,2,1,6,30
748,2,1,2,30
749,2,1,2,30
750,2,1,3,30
751,3,1,3,20
752,3,1,6,30
753,3,1,7,30
754,3,1,4,30
755,3,1,7,30
756,3,1,1,30
757,2,1,6,30
758,2,1,3,30
759,3,1,2,30
760,3,1,5,30
761,3,1,5,30
762,3,1,5,30
763,3,1,5,30
764,3,1,3,30
765,3,1,7,30
766,3,1,6,30
767,3,1,4,30
768,3,1,4,30
769,3,1,5,30
770,3,1,4,30
771,3,1,6,30
772,3,1,3,30
773,2,1,2,30
774,3,1,4,30
775,3,1,1,30
776,2,1,5,30
777,3,1,7,30
778,3,1,7,30
779,3,2,4,30
780,2,4,2,30
781,2,1,3,30
782,3,1,5,30
783,3,2,6,30
784,3,1,1,30
785,3,1,2,30
786,3,1,3,30
787,3,1,5,30
788,3,1,2,30
789,3,1,3,30
790,3,1,4,30
791,3,2,4,30
792,3,1,2,30
793,3,1,2,30
794,3,1,4,30
795,3,1,4,30
796,2,1,6,30
797,3,2,5,30
798,3,1,5,30
799,3,1,2,30
800,3,1,3,30
801,3,1,6,30
802,3,1,7,30
803,3,1,3,30
804,3,1,5,30
805,3,1,4,30
806,3,1,7,30
807,3,1,5,30
808,3,2,6,30
809,3,1,6,30
810,2,1,2,30
811,3,1,5,30
812,3,1,6,30
813,3,2,6,30
814,3,1,1,30
815,3,1,2,30
816,3,1,5,30
817,3,1,7,30
818,3,1,2,30
819,3,2,2,30
820,3,1,4,30
821,3,1,5,30
822,3,1,5,30
823,3,1,5,30
824,1,2,4,30
825,3,1,3,30
826,3,1,5,30
827,3,1,5,30
828,3,1,6,30
829,2,1,4,30
830,3,1,6,30
831,3,1,3,30
832,3,1,4,30
833,3,1,4,30
834,3,1,4,30
835,3,1,5,30
836,3,1,3,30
837,3,1,3,30
838,3,1,4,30
839,3,1,4,30
840,2,1,4,30
841,3,1,7,30
842,3,1,2,30
843,3,1,3,30
844,3,1,4,30
845,2,2,5,30
846,3,1,7,30
847,3,1,5,30
848,3,1,7,30
849,3,1,7,30
850,3,4,2,30
851,3,1,2,30
852,3,1,3,30
853,3,2,3,30
854,3,1,4,30
855,2,2,7,30
856,3,1,6,30
857,3,1,2,30
858,3,1,2,30
859,3,1,2,30
860,3,1,3,30
861,3,1,4,30
862,3,1,6,30
863,3,1,2,30
864,2,1,6,30
865,2,1,6,30
866,3,2,2,30
867,3,2,3,30
868,3,1,4,30
869,3,1,5,30
870,3,1,3,30
871,3,1,6,30
872,3,1,7,30
873,3,2,3,30
874,3,1,4,30
875,3,1,5,30
876,3,1,6,30
877,3,1,6,30
878,3,1,1,30
879,2,1,2,30
880,3,2,3,30
881,3,1,6,30
882,3,1,6,30
883,3,1,3,30
884,3,1,3,30
885,3,1,4,30
886,3,1,4,30
887,3,2,1,30
888,3,1,2,30
889,3,1,3,30
890,3,1,6,30
891,3,1,2,30
892,3,1,2,30
893,3,1,3,30
894,3,1,4,30
895,2,1,4,30
896,3,1,6,30
897,2,1,5,30
898,3,1,5,30
899,3,1,6,30
900,3,1,2,30
901,3,1,2,30
902,2,1,3,30
903,3,1,4,30
904,3,2,4,30
905,3,2,4,30
906,3,1,4,30
907,2,1,5,30
908,3,1,6,30
909,3,1,4,30
910,3,1,4,30
911,3,1,4,30
912,3,1,4,30
913,3,1,6,30
914,2,1,7,30
915,3,1,2,30
916,3,1,4,30
917,3,1,4,30
918,3,1,6,30
919,3,1,4,30
920,3,1,1,30
921,2,1,3,30
922,3,1,5,30
923,2,1,5,30
924,2,1,5,30
925,3,1,5,30
926,3,1,5,30
927,3,1,6,30
928,2,1,4,30
929,3,1,4,30
930,3,1,3,30
931,3,1,3,30
932,3,1,1,30
933,2,1,3,30
934,3,1,4,30
935,3,1,5,30
936,3,1,6,30
937,3,1,2,30
938,3,1,2,30
939,3,1,3,30
940,3,1,3,30
941,3,1,6,30
942,3,1,6,30
943,3,1,2,30
944,3,1,2,30
945,3,1,2,30
946,3,1,3,30
947,3,1,4,30
948,3,1,3,30
949,3,1,3,30
950,3,1,3,30
951,3,1,4,30
952,2,1,6,30
953,2,1,6,30
954,3,1,4,30
955,3,1,5,30
956,3,1,5,30
957,3,2,6,30
958,2,1,4,30
959,3,1,2,30
960,3,1,2,30
961,3,1,2,30
962,3,1,3,30
963,3,2,5,30
964,3,1,6,30
965,3,1,4,30
966,3,1,6,30
967,3,1,6,30
968,3,1,6,30
969,3,2,5,30
970,3,1,5,30
971,3,2,3,30
972,2,1,5,30
973,3,1,5,30
974,3,1,1,30
975,3,1,6,30
976,3,1,6,30
977,2,1,6,30
978,3,1,2,30
979,3,1,3,30
980,3,1,3,30
981,3,1,3,30
982,3,1,4,30
983,3,1,5,30
984,3,1,5,30
985,3,1,5,30
986,3,2,6,30
987,3,3,5,30
988,3,1,2,30
989,3,1,3,30
990,3,1,5,30
991,3,1,5,30
992,3,1,5,30
993,2,1,6,30
994,3,2,1,30
995,3,1,3,30
996,3,1,3,30
997,3,1,4,30
998,3,1,4,30
999,3,1,3,30
1000,3,1,7,30
1001,3,1,2,30
1002,3,1,2,30
1003,3,1,3,30
1004,3,1,4,30
1005,3,1,5,30
1006,3,3,3,30
1007,3,1,4,30
1008,3,1,5,30
1009,3,1,5,30
1010,3,1,2,30
1011,3,1,2,30
1012,3,1,7,30
1013,3,1,5,30
1014,2,1,6,30
1015,3,1,2,30
1016,3,1,3,30
1017,3,1,3,30
1018,3,1,3,30
1019,3,1,4,30
1020,3,1,5,30
1021,3,1,4,30
1022,3,1,2,30
1023,3,1,5,30
1024,2,2,5,30
1025,3,1,6,30
1026,3,1,6,30
1027,3,1,6,30
1028,3,1,2,30
1029,3,2,2,30
1030,3,1,3,30
1031,3,1,6,30
1032,3,1,4,30
1033,3,1,4,30
1034,3,1,4,30
1035,3,1,1,30
1036,3,1,6,30
1037,3,1,6,30
1038,3,1,7,30
1039,3,1,1,30
1040,3,1,4,30
1041,3,1,7,30
1042,3,1,4,30
1043,3,2,6,30
1044,3,1,5,30
1045,3,1,7,30
1046,3,1,3,30
1047,3,1,7,30
1048,3,1,4,30
1049,3,1,1,40
1050,3,1,1,30
1051,3,1,4,30
1052,3,1,6,30
1053,3,1,7,30
1054,3,1,5,30
1055,3,2,7,30
1056,3,1,5,30
1057,3,1,3,30
1058,3,1,7,30
1059,3,1,7,30
1060,3,1,2,30
1061,3,1,5,30
1062,3,1,4,30
1063,3,1,7,30
1064,3,1,3,30
1065,3,3,2,40
1066,3,1,6,30
1067,3,2,5,30
1068,3,1,5,30
1069,3,1,7,30
1070,3,1,2,30
1071,3,1,3,30
1072,2,1,4,30
1073,3,1,7,30
1074,3,1,6,30
1075,3,1,6,30
1076,3,1,2,30
1077,3,1,2,30
1078,3,1,2,30
1079,3,1,1,30
1080,3,1,2,30
1081,3,1,4,30
1082,3,1,4,40
1083,3,2,5,30
1084,2,1,5,30
1085,3,1,3,30
1086,3,1,6,30
1087,3,1,1,30
1088,3,1,2,30
1089,3,1,7,30
1090,3,1,5,30
1091,2,1,6,30
1092,2,1,1,30
1093,3,1,1,50
1094,3,1,2,30
1095,2,1,4,30
1096,3,2,4,30
1097,3,1,3,30
1098,3,1,4,30
1099,3,1,3,30
1100,3,1,4,30
1101,3,1,4,30
1102,3,1,5,30
1103,3,1,5,30
1104,3,1,5,30
1105,3,1,5,30
1106,2,1,5,30
1107,3,1,2,30
1108,3,1,3,30
1109,2,1,3,30
1110,3,1,2,30
1111,3,1,5,30
1112,2,1,4,30
1113,3,1,5,30
1114,3,1,5,30
1115,3,1,1,30
1116,3,1,4,30
1117,3,1,3,30
1118,3,1,2,30
1119,3,1,3,30
1120,3,2,5,30
1121,3,1,5,30
1122,3,1,6,30
1123,3,1,6,30
1124,3,1,6,30
1125,3,1,7,30
1126,3,1,1,30
1127,3,1,2,30
1128,3,1,3,30
1129,3,1,3,30
1130,3,1,6,30
1131,3,1,2,30
1132,3,1,4,30
1133,3,1,3,30
1134,3,1,4,30
1135,3,1,4,30
1136,3,1,4,30
1137,3,1,5,30
1138,3,1,2,30
1139,3,1,5,30
1140,3,1,6,30
1141,3,1,6,30
1142,3,2,7,30
1143,2,1,6,30
1144,3,1,7,30
1145,3,1,2,30
1146,3,1,2,30
1147,3,1,7,30
1148,3,1,3,30
1149,3,1,3,30
1150,3,1,6,30
1151,3,1,5,30
1152,3,1,5,30
1153,3,1,7,30
1154,3,2,5,30
1155,3,1,5,40
1156,3,1,5,30
1157,3,1,5,30
1158,3,1,5,30
1159,3,1,6,30
1160,3,1,6,30
1161,3,1,3,50
1162,3,1,3,30
1163,3,1,3,30
1164,3,1,4,30
1165,3,2,6,30
1166,3,1,4,30
1167,3,1,4,30
1168,3,1,5,30
1169,3,1,2,30
1170,3,1,3,30
1171,2,1,5,30
1172,3,1,6,30
1173,3,1,6,30
1174,3,1,6,30
1175,3,1,6,30
1176,3,1,7,30
1177,3,1,7,30
1178,3,3,1,30
1179,2,2,1,30
1180,3,1,1,30
1181,3,1,2,30
1182,3,1,1,30
1183,2,2,7,30
1184,3,2,1,30
1185,3,1,2,30
1186,3,1,1,30
1187,2,2,2,30
1188,3,1,1,30
1189,3,1,4,30
1190,3,1,4,30
1191,3,1,6,30
1192,3,1,6,30
1193,3,1,7,30
1194,3,1,2,30
1195,3,1,3,30
1196,3,1,3,30
1197,3,1,6,30
1198,3,1,7,30
1199,3,2,4,30
1200,3,1,4,30
1201,3,1,5,30
1202,3,1,5,30
1203,3,1,5,30
1204,3,1,4,30
1205,3,1,3,30
1206,3,2,2,30
1207,3,1,6,30
1208,3,1,1,30
1209,3,1,2,30
1210,2,1,3,30
1211,3,1,5,30
1212,3,1,6,30
1213,3,3,6,30
1214,3,1,6,30
1215,3,1,7,30
1216,3,1,7,30
1217,3,1,7,30
1218,3,1,5,30
1219,3,2,1,30
1220,2,1,2,30
1221,2,1,3,30
1222,3,1,3,30
1223,3,1,2,30
1224,3,2,4,30
1225,2,1,4,30
1226,3,1,4,30
1227,2,1,4,30
1228,3,1,4,30
1229,2,1,5,30
1230,3,1,5,30
1231,3,1,5,30
1232,3,1,6,30
1233,3,2,6,30
1234,3,1,6,30
1235,3,1,7,30
1236,3,1,1,30
1237,3,1,2,30
1238,3,1,2,30
1239,2,1,4,30
1240,3,1,5,40
1241,3,1,5,50
1242,3,1,5,30
1243,3,1,5,30
1244,3,1,5,30
1245,2,1,1,30
1246,3,1,5,30
1247,3,3,5,30
1248,3,1,6,30
1249,3,2,6,30
1250,3,3,6,30
1251,3,1,6,30
1252,3,1,7,30
1253,3,1,7,30
1254,3,1,1,30
1255,3,1,2,30
1256,3,1,3,30
1257,3,2,3,30
1258,3,1,3,30
1259,3,1,4,30
1260,3,1,4,30
1261,3,1,4,30
1262,3,1,5,30
1263,2,1,1,30
1264,3,1,4,30
1265,3,1,3,30
1266,3,2,3,30
1267,2,1,4,30
1268,3,1,4,30
1269,3,1,4,30
1270,3,1,5,30
1271,3,1,5,30
1272,3,1,5,30
1273,3,1,6,30
1274,3,1,6,30
1275,3,1,7,30
1276,3,1,1,30
1277,3,1,1,30
1278,3,3,1,30
1279,3,1,3,20
1280,3,1,4,30
1281,3,1,5,30
1282,3,1,5,30
1283,3,1,6,30
1284,3,1,6,30
1285,3,1,7,30
1286,3,1,7,30
1287,3,1,1,30
1288,3,2,3,30
1289,3,1,6,30
1290,3,1,6,30
1291,3,1,6,30
1292,3,1,6,30
1293,3,1,3,30
1294,2,1,7,30
1295,3,1,2,30
1296,3,1,4,30
1297,2,1,7,30
1298,3,2,7,30
1299,3,1,7,30
1300,3,1,1,30
1301,3,1,2,30
1302,3,1,2,30
1303,3,1,3,30
1304,3,1,3,30
1305,3,1,3,30
1306,3,1,4,30
1307,3,1,4,30
1308,3,1,4,30
1309,3,1,4,30
1310,2,2,4,30
1311,3,1,5,30
1312,3,2,2,30
1313,3,1,7,30
1314,3,2,5,30
1315,3,1,5,30
1316,3,1,6,30
1317,2,1,6,30
1318,3,1,7,30
1319,3,1,7,30
1320,3,1,3,30
1321,3,1,4,30
1322,3,1,5,30
1323,2,1,7,30
1324,3,1,2,30
1325,3,2,4,30
1326,3,2,5,30
1327,3,2,1,30
1328,3,1,6,30
1329,2,1,6,30
1330,3,1,5,30
1331,2,2,3,30
1332,3,1,4,30
1333,3,1,5,30
1334,2,1,3,30
1335,3,1,5,30
1336,3,1,5,30
1337,3,1,6,60
1338,3,2,4,30
1339,3,1,5,30
1340,3,1,1,30
1341,3,1,1,30
1342,3,1,1,30
1343,3,1,1,30
1344,3,1,6,30
1345,3,1,1,30
1346,3,1,2,30
1347,3,1,7,30
1348,3,1,6,30
1349,3,1,1,30
1350,2,1,4,30
1351,3,1,7,30
1352,3,1,5,30
1353,3,1,3,30
1354,3,1,5,30
1355,2,1,5,30
1356,3,1,6,30
